id,nom,telephone,matricule_fiscale,created_at
39c31c68-7199-4c68-9437-34b905de876e,COTUPHA,71025025,,2026-05-26T19:26:46.123875+00:00
89c04a5b-3993-4c4a-8b0b-9818e4f717ea,PARAGROS,70825429,1317893M/A/M/000,2026-06-02T16:40:09.599194+00:00
2d833fdf-7fc9-4518-bb42-7d6e4cc1d422,PLANET MEDICAL PLUS,70253280,1050321 ABM 000,2026-06-02T16:56:42.425602+00:00
977c5424-f175-44de-a13a-1ced1c18ffb3,MEDICA CONSEIL,,,2026-06-16T12:36:01.100449+00:00
0462df3f-2223-4283-abaf-ba8bcca08ac8,GREEN PHARMA,71233422 MENZAH -29909907,984698/S/A/M/000,2026-07-04T13:18:48.463854+00:00
57747a7e-e482-41d2-acd5-a715944f0686,GREEN PHARMA,71233422 MENZAH -29909907,984698/S/A/M/000,2026-07-04T13:19:18.566784+00:00
