id,operation_number,module_id,movement_type,product_id,product_code,product_designation,partner_name,note,quantity,stock_effect,operation_date,created_at,created_by
c4bb8a16-665d-4a23-a750-b6f4efd7ea9c,EMP-000003/1,stock_emprunt,EMPRUNT,3abfbffc-7a92-4c2b-831d-044e9b2ae593,12895,ACM AZEANE CREME 30ML,MEDICA CONSEIL,EMPRUNT,1,1,2026-06-28,2026-06-28T13:22:05.92936+00:00,Administrateur
d2c2b490-2d62-486c-82cb-9420a30c7d46,EMP-000003/2,stock_emprunt,EMPRUNT,0b6bdc6a-0786-4bb7-853d-b9bc167b6131,12573,ADOLOR FORT B/30 GELULE,MEDICA CONSEIL,EMPRUNT,2,2,2026-06-28,2026-06-28T13:22:06.285201+00:00,Administrateur
4a2d5aa9-7c5a-4800-a02b-569493e12cd3,PRT-000007/1,stock_pret,PRET,4355603c-71aa-44a8-9d70-df1298b62e3b,9515,SVR  CLAIRIAL SERUM +CLAIRIAL SPF COFREE,MEDICA CONSEIL,PRET,1,-1,2026-06-28,2026-06-28T13:22:57.481571+00:00,Administrateur
4a6259eb-16c1-4b21-9785-132d40dd2b3f,SOR-000006/1,stock_sortie,SORTIE,4355603c-71aa-44a8-9d70-df1298b62e3b,9515,SVR  CLAIRIAL SERUM +CLAIRIAL SPF COFREE,PERIMEE,,1,-1,2026-06-28,2026-06-28T15:10:25.312234+00:00,Administrateur
f4464223-a7c1-4645-9d5b-a80f529b9ced,ENT-000004/1,stock_entree,ENTREE,52829f22-f653-45bc-9b7a-b8e6f68eae17,9516,SVR  COFREE SEBIACLAIRE,COTUPHA,Gratuite,2,2,2026-06-28,2026-06-28T15:10:59.643681+00:00,Administrateur
