"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl"
"PS-AVENE-HYALURON-ACTIV-B3--3B276E";"";"AVENE HYALURON ACTIV B3 Creme Multi Intensive Nuit 40ML";"0.000";"0.000";"125.882";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-hyaluron-activ-b3-creme-multi-intensive-nuit-40ml-600x315w.jpg";"AVENE HYALURON ACTIV B3 Creme Multi Intensive Nuit est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"149.800";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-hyaluron-activ-b3-creme-multi-intensive-nuit-40ml"
"PS-AVENE-HYALURON-ACTIV-B3--0305F5";"";"AVENE HYALURON ACTIV B3 Creme Regeneration Cellulaire 50ML";"0.000";"0.000";"136.396";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-hyaluron-activ-b3-creme-regeneration-cellulaire-50ml-600x315w.jpg";"AVENE HYALURON ACTIV B3 Creme Regeneration Cellulaire est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"162.311";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-hyaluron-activ-b3-creme-regeneration-cellulaire-50ml"
"PS-AVENE-HYALURON-ACTIV-B3--E94DE8";"";"AVENE HYALURON ACTIV B3 Serum Concentre Repulpant 30ML";"0.000";"0.000";"115.126";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-hyaluron-activ-b3-serum-concentre-repulpant-30ml-600x315w.jpg";"AVENE HYALURON ACTIV B3 Serum Concentre Repulpant est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"137.000";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-hyaluron-activ-b3-serum-concentre-repulpant-30ml"
"PS-AVENE-HYALURON-ACTIV-PRO-1A3EDE";"";"AVENE HYALURON ACTIV PROCEDURE Creme Lifting 0.1% Retinal 30ML";"0.000";"0.000";"136.396";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-hyaluron-activ-procedure-creme-lifting-01-retinal-30ml-600x315w.jpg";"AVENE HYALURON ACTIV PROCEDURE Creme Lifting 0.1% Retinal à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"162.311";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-hyaluron-activ-procedure-creme-lifting-01-retinal-30ml"
"PS-AVENE-HYDRANCE-SPF30-CRE-5EBD1F";"";"AVENE HYDRANCE SPF30 CREME HYDRATANTE 40ML";"0.000";"0.000";"37.983";"99.000";"160.643";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-hydrance-spf30-creme-hydratante-40ml-600x315w.jpg";"Commandez AVENE HYDRANCE SPF30 CREME HYDRATANTE à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-hydrance-spf30-creme-hydratante-40ml"
"PS-AVENE-MOUSSE-NETTOYANTE--7604EC";"";"AVENE Mousse Nettoyante 150ML";"0.000";"0.000";"42.128";"99.000";"134.998";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-mousse-nettoyante-150ml-600x315w.jpg";"AVENE Mousse Nettoyante est disponible au meilleur prix chez votre parapharmacie parashop tunisie. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-mousse-nettoyante-150ml"
"PS-AVENE-TOLERANCE-CONTROL--7AEBA0";"";"AVENE TOLERANCE CONTROL Creme Apaisante Restauratrice 40ML";"0.000";"0.000";"61.849";"73.600";"18.999";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/images_produits/AVENE/tolerance/avene-tolerance-control-creme-apaisante-restauratrice-40ml-600x315w.jpg";"avene tolérance control crème super apaisante est enrichie de 98% d";"";"visage";"79.823";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-tolerance-control-creme-apaisante-restauratrice-40ml"
"PS-AVENE-VITAMIN-ACTIV-CG-S-047234";"";"AVENE VITAMIN ACTIV Cg Serum Correcteur Eclat 30ML";"0.000";"0.000";"115.294";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/avene/avene-vitamin-activ-cg-serum-correcteur-eclat-30ml-600x315w.jpg";"AVENE VITAMIN ACTIV Cg Serum Correcteur Eclat disponible à bas en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"137.200";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-vitamin-activ-cg-serum-correcteur-eclat-30ml"
"PS-BABE-ANTIOX-SERUM-VITAMI-FA648E";"";"BABE ANTIOX SERUM VITAMINE C 30ML";"0.000";"0.000";"104.880";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-antiox-serum-vitamine-c-30ml-600x315w.jpg";"Acheter BABE ANTIOX SERUM VITAMINE C à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"124.807";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-antiox-serum-vitamine-c-30ml"
"PS-BABE-DEPIGMENT-CONTROL-F-434D15";"";"BABE DEPIGMENT+ CONTROL FLUID 40ML";"0.000";"0.000";"95.521";"99.000";"3.642";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-depigment-control-fluid-40ml-600x315w.jpg";"Prévenir l";"La couleur du produit peut évoluer au fil du temps en raison de la transformation de ses ingrédients. Ce phénomène est c";"visage";"113.670";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-depigment-control-fluid-40ml"
"PS-BABE-E5F06C";"";"BABÉ";"0.000";"0.000";"104.159";"123.949";"19.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/data/marques/babe-logo-min-600x315w.jpg";"";"BABÉ BABE PACK Super Fluid SPF50 + STICK INVISIBLE SPF50 + DRIOSEC Roll On OFFERT BABE Super Fluid SPF50 + STICK INVISIB";"marque";"190.814";"-25%";"";"";"";"https://www.parashop.tn/babe"
"PS-BABE-DEPIGMENT-INTENSIVE-979B88";"";"BABE DEPIGMENT+ INTENSIVE SERUM 30ML";"0.000";"0.000";"110.603";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-depigment-intensive-serum-30ml-600x315w.jpg";"Attenuer vos taches avec BABE DEPIGMENT+ INTENSIVE SERUM à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"La couleur du produit peut évoluer au fil du temps, ce qui est normal et n'altère ni son innocuité ni son efficacité. Co";"visage";"131.617";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-depigment-intensive-serum-30ml"
"PS-BABE-DEPIGMENT-LOTION-GL-CF451A";"";"BABE DEPIGMENT+ LOTION GLOW 150ML";"0.000";"0.000";"95.521";"99.000";"3.642";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-depigment-lotion-glow-150ml-600x315w.jpg";"Commander BABE DEPIGMENT+ LOTION GLOW à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"113.670";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-depigment-lotion-glow-150ml"
"PS-BABE-HYDRA-SERUM-HYALURO-A3F0B6";"";"BABE HYDRA SERUM HYALURONIC ACID 30ML";"0.000";"0.000";"99.360";"99.000";"0.000";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-hydra-serum-hyaluronic-acid-30ml-600x315w.jpg";"BABE HYDRA SERUM HYALURONIC ACID à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"118.238";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-hydra-serum-hyaluronic-acid-30ml"
"PS-BABE-INVISIBLE-LIP-STICK-5DEB6D";"";"BABE LIP STICK INVISIBLE SPF 50 4GR";"0.000";"0.000";"19.071";"99.000";"419.113";"0.000";"";"0";"https://www.parashop.tn/image/cache/catalog/produits/babe/babe-invisible-lip-stick-spf-50-4gr-600x315w.jpg";"BABE LIP STICK INVISIBLE SPF 50 à bas prix en tunisie sur parashop votre parapharmacie en ligne. Livraison gratuite dès 99DT";"";"visage";"0.000";"-25%";"";"";"";"https://www.parashop.tn/visage/babe-invisible-lip-stick-spf-50-4gr"
