"CodeArticle";"CodeABarre";"Designation";"PrixAchatHT";"PrixAchatTTC";"PrixVenteHT";"PrixVenteTTC";"TVA";"Marge";"DateAlerte";"StockArticle";"ImageURL";"DescriptionWeb";"ProductBrand";"WebCategorySlug";"OldPriceTTC";"PromoBadge";"ProductGalleryURLs";"ProductSpecs";"Forme";"ProductUrl";"MatchMethod";"MatchScore";"MatchedWebDesignation";"MatchedWebBrand";"MatchedWebUrl"
"8508";"3282770074468";"DUCRAY KERACNYL SERUM 30ML";"31.816";"37.861";"49.315";"58.685";"19";"55";"";"1";"https://www.parashop.tn/image/cache/catalog/produits/ducray/ducray-pack-keracnyl-serum-30ml-600x315w.jpg";"DUCRAY PACK KERACNYL SERUM 30ML";"DUCRAY";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/ducray-pack-keracnyl-serum-30ml";"empreinte+marque";"90";"DUCRAY PACK KERACNYL SERUM 30ML";"DUCRAY";"https://www.parashop.tn/visage/ducray-pack-keracnyl-serum-30ml"
"8823";"3662361000920";"SVR AMPOULE A LIFT 30 ML";"62.67";"74.577";"97.138";"115.595";"19";"55";"";"1";"https://www.parashop.tn/image/cache/catalog/produits/svr/svr-ampoule-a-lift-concentre-lissant-retexturisant-600x315w.jpg";"SVR Ampoule A le sérum ultra-concentré en vitamine A retexturise le tissu cutané et lisse la peau. La qualité de peau s’améliore, elle paraît plus jeune.";"SVR";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/svr-ampoule-a-lift-30ml";"empreinte+marque";"90";"SVR AMPOULE A LIFT 30ML";"SVR";"https://www.parashop.tn/visage/svr-ampoule-a-lift-30ml"
"391";"3504105028695";"MUSTELA COLD CREAM 40ML";"12.5";"14.875";"19.375";"23.056";"19";"55";"2020-02-08";"1";"https://www.parashop.tn/image/cache/data/images_produits/AVENE/avene-cold-cream-40ml-600x315w.jpg";"La Cold Cream de Avene sert à Nourrir, hydrater et protèger la peau des agressions extérieures. Disponible au meilleur prix en tunisie chez parashop";"MUSTELA";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/avene-cold-cream-creme-40ml";"designation-sans-marque";"88";"AVENE COLD CREAM 40ML";"AVENE";"https://www.parashop.tn/visage/avene-cold-cream-creme-40ml"
"5927";"6192422000455";"HYDRA-VASELINE 100ML";"4.962";"5.905";"7.691";"9.152";"19";"55";"2020-03-04";"1";"https://www.parashop.tn/image/cache/catalog/produits/dahlia-hydra-vaseline-100-ml-600x315w.jpg";"DAHLIA HYDRA VASELINE une émulsion dermique Bio hydratante et protectrice des peaux sensibles , à prix bas chez parashop tunisie";"HYDRA-VASELINE";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/dahlia-hydra-vaseline-100ml";"approximation-intelligente";"93";"DAHLIA HYDRA VASELINE 100ML";"DAHLIA";"https://www.parashop.tn/visage/dahlia-hydra-vaseline-100ml"
"4372";"3700138600468";"DERMAGOR ERYCALM LOTION MICELLAIRE 400ML";"24.561";"29.227";"38.07";"45.303";"19";"55";"";"1";"https://www.parashop.tn/image/cache/catalog/produits/dermagor/dermagor-erycalm-lotion-micellaire-400-ml-600x315w.jpg";"DERMAGOR ERYCALM LOTION MICELLAIRE permet de nettoyer en toute douceur les peaux sensibles. Au meilleur prix chez parashop tunisie,";"DERMAGOR";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/dermagor-erycalm-lotion-micellaire-400-ml";"designation+brand";"96";"DERMAGOR ERYCALM LOTION MICELLAIRE 400ML";"Dermagor";"https://www.parashop.tn/visage/dermagor-erycalm-lotion-micellaire-400-ml"
"8669";"4005800192920";"EUCERIN DERMOPURE GOMMAGE 100 ML";"21.819";"25.965";"33.82";"40.246";"19";"55.003";"2020-01-25";"1";"https://www.parashop.tn/image/cache/catalog/produits/eucerin/eucerin-dermopure-gommage-100ml-600x315w.jpg";"Eucerin DermoPure Gommage pour peau à tendance acnéique enrichi en microparticules qui affinent les pores, au meilleur prix tunisie chez parashop";"EUCERIN";"visage";"0";"-25%";"";"";"";"https://www.parashop.tn/visage/eucerin-dermopure-gommage";"empreinte+marque";"90";"EUCERIN DermoPure Gommage - 100ML";"EUCERIN";"https://www.parashop.tn/visage/eucerin-dermopure-gommage"
